Particular,Product Code,Definition,Category (clean),Sub-Category (clean)
Foam 78x40x50mm (DLX Splash 32   Color-Yellow  Non FR)  Color:  Density: 32,,Foam,Raw Material,Product Utilities
Foam 60X26X50MM WHITE  Color:  Density:,,Foam,Raw Material,Product Utilities
Foam Platinum 88x36x25mm  Color:Yellow  Density: 32,,Foam,Raw Material,Product Utilities
Foam Platinum 88x36x10mm  Color:Yellow  Density: 32,,Foam,Raw Material,Product Utilities
Foam Platinum 88x36x6mm  Color:Yellow  Density: 32,,Foam,Raw Material,Product Utilities
Foam 78X39X25MM WHITE  Color:  Density:,,Foam,Raw Material,Product Utilities
Foam 39x52x50mm  Color:white  Density: 32,,Foam,Raw Material,Product Utilities
Foam 40X39X25MM WHITE  Color:  Density:,,Foam,Raw Material,Product Utilities
Foam 40X36X25MM YELLOW  Color:  Density:,,Foam,Raw Material,Product Utilities
Foam 53X38X25MM WHITE  Color:  Density:,,Foam,Raw Material,Product Utilities
"Foam 72""""x26""""x25mm platinum  Color:yellow  Density: 32",,Foam,Raw Material,Product Utilities
Foam FF 35CMS 72X48X10MM  Color:GREY  Density:,,Foam,Raw Material,Product Utilities
Foam FF 35CMS 72X48X25MM  Color:GREY  Density:,,Foam,Raw Material,Product Utilities
Foam FF 35CMS 72X48X50MM  Color:GREY  Density:,,Foam,Raw Material,Product Utilities
Foam FF 35CMS 72X48X75MM  Color:GREY  Density:,,Foam,Raw Material,Product Utilities
Foam 60X30X25MM YELLOW  Color:  Density:,,Foam,Raw Material,Product Utilities
Foam 45x37x25mm  Color:whte softy  Density:,,Foam,Raw Material,Product Utilities
Foam 53X36X25MM  Color:PINK  Density: 32 D PLATINIUM,,Foam,Raw Material,Product Utilities
Foam 72x36x10mm (DLX Splash 32   Color-Yellow  Non FR)  Color:  Density: 32,,Foam,Raw Material,Product Utilities
Foam 72x60x40  Color:Green  Density:,,Foam,Raw Material,Product Utilities
Foam 78X36X50MM  Color:WHITE  Density: 32 D SSW,,Foam,Raw Material,Product Utilities
Foam DLX splash 32 - 60x40x25mm  Color:YELLOW  Density: 32,,Foam,Raw Material,Product Utilities
"Foam DLX Splash 84""""x10""""x20mm  Color:Yellow  Density: 32",,Foam,Raw Material,Product Utilities
"Foam Platinum 32D 52""""x63""""x100mm  Color:yellow  Density: 32",,Foam,Raw Material,Product Utilities
"Foam Platinum 32D 84""""X10""""X20mm (Agarwal)  Color:yellow  Density: 32",,Foam,Raw Material,Product Utilities
Foam agarwal 40x37x25mm  Color:yellow  Density:,,Foam ,Raw Material,Product Utilities
Foam SSW 40X38X25MM  Color:WHITE  Density: 32 D,,Foam ,Raw Material,Product Utilities
Foam   Color:37X37X10MM YELLOW  Density:,,Foam ,Raw Material,Product Utilities
Foam 36X30X10MM  Color:YELLOW  Density: 32 D,,Foam ,Raw Material,Product Utilities
Foam 37X36X10MM YELLOW  Color:AGARWAL  Density:,,Foam ,Raw Material,Product Utilities
Foam 40x35x10mm yellow  Color:  Density:,,Foam ,Raw Material,Product Utilities
Foam 40x35x25mm yellow  Color:  Density:,,Foam ,Raw Material,Product Utilities
Foam 40x38x10mm yellow  Color:  Density:,,Foam ,Raw Material,Product Utilities
Foam 48X36X10MM  Color:PINK  Density: 32 D,,Foam ,Raw Material,Product Utilities
Foam 48X36X6 MM  Color:PINK  Density: 32 D,,Foam ,Raw Material,Product Utilities
"Foam 53""""x34""""x25mm Color-Yellow   Color:  Density: 32",,Foam ,Raw Material,Product Utilities
Foam 53X36X25MM  Color:yellow  Density: 32 D PLATINIUM,,Foam ,Raw Material,Product Utilities
Foam 55X36X25MM SOFT WHITE  Color:  Density:,,Foam ,Raw Material,Product Utilities
Foam 55X36X25MM YELLOW PLATINUM  Color:  Density:,,Foam ,Raw Material,Product Utilities
Foam 55X36X75MM  Color:PINK  Density: 32 D DIAMOND,,Foam ,Raw Material,Product Utilities
Foam 55x55x75mm PINK  Color:  Density:,,Foam ,Raw Material,Product Utilities
Foam 56X36X25MM  Color:YELLOW  Density:,,Foam ,Raw Material,Product Utilities
Foam 60x36x10mm YELLOW PLATINUM  Color:  Density:,,Foam ,Raw Material,Product Utilities
Foam 61x38x75mm  Color:pinck  Density:,,Foam ,Raw Material,Product Utilities
Foam 66x56x25MM YELLOW  Color:  Density:,,Foam ,Raw Material,Product Utilities
